"age.group","violation.type","scenario","possibility.judgment","sd","moral","probable","possible","intersection"
"4-5 yrs","Physical violation","Ball",80,NA,-0.6,0.764705882352941,0.833333333333333,0.998039215686275
"4-5 yrs","Physical violation","Basketball",91.6666666666667,NA,-1,0.5,0.76,0.26
"4-5 yrs","Physical violation","Best Friend",66.6666666666667,NA,0.25,0.882352941176471,0.75,1.88235294117647
"4-5 yrs","Physical violation","Candy Bar",75,NA,-0.333333333333333,0.818181818181818,0.904761904761905,1.38961038961039
"4-5 yrs","Physical violation","Chores",64.2857142857143,NA,-1,1,0.565217391304348,0.565217391304348
"4-5 yrs","Physical violation","Movie",66.6666666666667,NA,0.6,0.904761904761905,0.909090909090909,2.41385281385281
"4-5 yrs","Physical violation","School",54.5454545454545,NA,-0.428571428571429,0.8,0.7,1.07142857142857
"4-5 yrs","Physical violation","T-Shirt",75,NA,0.2,0.80952380952381,0.888888888888889,1.8984126984127
"4-5 yrs","Probability violation","Ball",75,NA,-0.0909090909090909,0.583333333333333,-0.826086956521739,-0.333662714097497
"4-5 yrs","Probability violation","Basketball",50,NA,-0.1,0.363636363636364,-0.555555555555556,-0.291919191919192
"4-5 yrs","Probability violation","Best Friend",100,NA,0.411764705882353,0.818181818181818,-0.272727272727273,0.957219251336898
"4-5 yrs","Probability violation","Candy Bar",77.7777777777778,NA,0,0.68,-0.619047619047619,0.060952380952381
"4-5 yrs","Probability violation","Chores",55.5555555555556,NA,-0.7,0.84,-0.478260869565217,-0.338260869565217
"4-5 yrs","Probability violation","Movie",30.7692307692308,NA,-0.5,0.384615384615385,-0.826086956521739,-0.941471571906354
"4-5 yrs","Probability violation","School",71.4285714285714,NA,-0.727272727272727,0.68,-0.7,-0.747272727272727
"4-5 yrs","Probability violation","T-Shirt",75,NA,0.3,0.909090909090909,-0.5,0.709090909090909
"4-5 yrs","Non-violation","Ball",58.3333333333333,NA,-0.923076923076923,-0.826086956521739,-0.92,-2.66916387959866
"4-5 yrs","Non-violation","Basketball",36.3636363636364,NA,-1,-0.846153846153846,-0.68,-2.52615384615385
"4-5 yrs","Non-violation","Best Friend",18.1818181818182,NA,-0.84,-0.92,-0.76,-2.52
"4-5 yrs","Non-violation","Candy Bar",57.1428571428571,NA,-0.923076923076923,-0.76,-0.84,-2.52307692307692
"4-5 yrs","Non-violation","Chores",30,NA,-1,-0.925925925925926,-0.583333333333333,-2.50925925925926
"4-5 yrs","Non-violation","Movie",33.3333333333333,NA,-0.833333333333333,-0.75,-0.84,-2.42333333333333
"4-5 yrs","Non-violation","School",18.1818181818182,NA,-0.851851851851852,-0.92,-0.818181818181818,-2.59003367003367
"4-5 yrs","Non-violation","T-Shirt",25,NA,-0.91304347826087,-1,-0.923076923076923,-2.83612040133779
"4-5 yrs","Moral violation","Ball",50,NA,0.76,-0.6,-0.833333333333333,-0.673333333333333
"4-5 yrs","Moral violation","Basketball",28.5714285714286,NA,0.92,-0.25,-0.916666666666667,-0.246666666666667
"4-5 yrs","Moral violation","Best Friend",87.5,NA,0.76,-0.28,-0.84,-0.36
"4-5 yrs","Moral violation","Candy Bar",58.3333333333333,NA,0.846153846153846,-0.6,-0.916666666666667,-0.67051282051282
"4-5 yrs","Moral violation","Chores",71.4285714285714,NA,1,-0.851851851851852,-0.652173913043478,-0.50402576489533
"4-5 yrs","Moral violation","Movie",83.3333333333333,NA,0.92,-0.36,-0.92,-0.36
"4-5 yrs","Moral violation","School",63.6363636363636,NA,0.28,-0.923076923076923,-0.739130434782609,-1.38220735785953
"4-5 yrs","Moral violation","T-Shirt",58.3333333333333,NA,0.538461538461538,-0.666666666666667,-0.923076923076923,-1.05128205128205
"6-7 yrs","Physical violation","Ball",80,NA,-0.6,0.764705882352941,0.833333333333333,0.998039215686275
"6-7 yrs","Physical violation","Basketball",87.5,NA,-1,0.5,0.76,0.26
"6-7 yrs","Physical violation","Best Friend",100,NA,0.25,0.882352941176471,0.75,1.88235294117647
"6-7 yrs","Physical violation","Candy Bar",100,NA,-0.333333333333333,0.818181818181818,0.904761904761905,1.38961038961039
"6-7 yrs","Physical violation","Chores",91.6666666666667,NA,-1,1,0.565217391304348,0.565217391304348
"6-7 yrs","Physical violation","Movie",91.6666666666667,NA,0.6,0.904761904761905,0.909090909090909,2.41385281385281
"6-7 yrs","Physical violation","School",75,NA,-0.428571428571429,0.8,0.7,1.07142857142857
"6-7 yrs","Physical violation","T-Shirt",100,NA,0.2,0.80952380952381,0.888888888888889,1.8984126984127
"6-7 yrs","Probability violation","Ball",53.8461538461538,NA,-0.0909090909090909,0.583333333333333,-0.826086956521739,-0.333662714097497
"6-7 yrs","Probability violation","Basketball",28.5714285714286,NA,-0.1,0.363636363636364,-0.555555555555556,-0.291919191919192
"6-7 yrs","Probability violation","Best Friend",63.6363636363636,NA,0.411764705882353,0.818181818181818,-0.272727272727273,0.957219251336898
"6-7 yrs","Probability violation","Candy Bar",92.3076923076923,NA,0,0.68,-0.619047619047619,0.060952380952381
"6-7 yrs","Probability violation","Chores",25,NA,-0.7,0.84,-0.478260869565217,-0.338260869565217
"6-7 yrs","Probability violation","Movie",75,NA,-0.5,0.384615384615385,-0.826086956521739,-0.941471571906354
"6-7 yrs","Probability violation","School",83.3333333333333,NA,-0.727272727272727,0.68,-0.7,-0.747272727272727
"6-7 yrs","Probability violation","T-Shirt",70,NA,0.3,0.909090909090909,-0.5,0.709090909090909
"6-7 yrs","Non-violation","Ball",0,NA,-0.923076923076923,-0.826086956521739,-0.92,-2.66916387959866
"6-7 yrs","Non-violation","Basketball",15.3846153846154,NA,-1,-0.846153846153846,-0.68,-2.52615384615385
"6-7 yrs","Non-violation","Best Friend",0,NA,-0.84,-0.92,-0.76,-2.52
"6-7 yrs","Non-violation","Candy Bar",0,NA,-0.923076923076923,-0.76,-0.84,-2.52307692307692
"6-7 yrs","Non-violation","Chores",0,NA,-1,-0.925925925925926,-0.583333333333333,-2.50925925925926
"6-7 yrs","Non-violation","Movie",28.5714285714286,NA,-0.833333333333333,-0.75,-0.84,-2.42333333333333
"6-7 yrs","Non-violation","School",0,NA,-0.851851851851852,-0.92,-0.818181818181818,-2.59003367003367
"6-7 yrs","Non-violation","T-Shirt",14.2857142857143,NA,-0.91304347826087,-1,-0.923076923076923,-2.83612040133779
"6-7 yrs","Moral violation","Ball",50,NA,0.76,-0.6,-0.833333333333333,-0.673333333333333
"6-7 yrs","Moral violation","Basketball",33.3333333333333,NA,0.92,-0.25,-0.916666666666667,-0.246666666666667
"6-7 yrs","Moral violation","Best Friend",27.2727272727273,NA,0.76,-0.28,-0.84,-0.36
"6-7 yrs","Moral violation","Candy Bar",63.6363636363636,NA,0.846153846153846,-0.6,-0.916666666666667,-0.67051282051282
"6-7 yrs","Moral violation","Chores",20,NA,1,-0.851851851851852,-0.652173913043478,-0.50402576489533
"6-7 yrs","Moral violation","Movie",22.2222222222222,NA,0.92,-0.36,-0.92,-0.36
"6-7 yrs","Moral violation","School",50,NA,0.28,-0.923076923076923,-0.739130434782609,-1.38220735785953
"6-7 yrs","Moral violation","T-Shirt",60,NA,0.538461538461538,-0.666666666666667,-0.923076923076923,-1.05128205128205
"Adults","Physical violation","Ball",88.2352941176471,NA,-0.6,0.764705882352941,0.833333333333333,0.998039215686275
"Adults","Physical violation","Basketball",94.7368421052632,NA,-1,0.5,0.76,0.26
"Adults","Physical violation","Best Friend",85.1851851851852,NA,0.25,0.882352941176471,0.75,1.88235294117647
"Adults","Physical violation","Candy Bar",100,NA,-0.333333333333333,0.818181818181818,0.904761904761905,1.38961038961039
"Adults","Physical violation","Chores",89.4736842105263,NA,-1,1,0.565217391304348,0.565217391304348
"Adults","Physical violation","Movie",100,NA,0.6,0.904761904761905,0.909090909090909,2.41385281385281
"Adults","Physical violation","School",95,NA,-0.428571428571429,0.8,0.7,1.07142857142857
"Adults","Physical violation","T-Shirt",92,NA,0.2,0.80952380952381,0.888888888888889,1.8984126984127
"Adults","Probability violation","Ball",11.7647058823529,NA,-0.0909090909090909,0.583333333333333,-0.826086956521739,-0.333662714097497
"Adults","Probability violation","Basketball",38.8888888888889,NA,-0.1,0.363636363636364,-0.555555555555556,-0.291919191919192
"Adults","Probability violation","Best Friend",75,NA,0.411764705882353,0.818181818181818,-0.272727272727273,0.957219251336898
"Adults","Probability violation","Candy Bar",60,NA,0,0.68,-0.619047619047619,0.060952380952381
"Adults","Probability violation","Chores",23.8095238095238,NA,-0.7,0.84,-0.478260869565217,-0.338260869565217
"Adults","Probability violation","Movie",15.7894736842105,NA,-0.5,0.384615384615385,-0.826086956521739,-0.941471571906354
"Adults","Probability violation","School",26.3157894736842,NA,-0.727272727272727,0.68,-0.7,-0.747272727272727
"Adults","Probability violation","T-Shirt",25,NA,0.3,0.909090909090909,-0.5,0.709090909090909
"Adults","Non-violation","Ball",0,NA,-0.923076923076923,-0.826086956521739,-0.92,-2.66916387959866
"Adults","Non-violation","Basketball",4,NA,-1,-0.846153846153846,-0.68,-2.52615384615385
"Adults","Non-violation","Best Friend",5.88235294117647,NA,-0.84,-0.92,-0.76,-2.52
"Adults","Non-violation","Candy Bar",5.26315789473684,NA,-0.923076923076923,-0.76,-0.84,-2.52307692307692
"Adults","Non-violation","Chores",5.26315789473684,NA,-1,-0.925925925925926,-0.583333333333333,-2.50925925925926
"Adults","Non-violation","Movie",15.7894736842105,NA,-0.833333333333333,-0.75,-0.84,-2.42333333333333
"Adults","Non-violation","School",0,NA,-0.851851851851852,-0.92,-0.818181818181818,-2.59003367003367
"Adults","Non-violation","T-Shirt",0,NA,-0.91304347826087,-1,-0.923076923076923,-2.83612040133779
"Adults","Moral violation","Ball",8.69565217391304,NA,0.76,-0.6,-0.833333333333333,-0.673333333333333
"Adults","Moral violation","Basketball",5.88235294117647,NA,0.92,-0.25,-0.916666666666667,-0.246666666666667
"Adults","Moral violation","Best Friend",6.66666666666667,NA,0.76,-0.28,-0.84,-0.36
"Adults","Moral violation","Candy Bar",0,NA,0.846153846153846,-0.6,-0.916666666666667,-0.67051282051282
"Adults","Moral violation","Chores",10,NA,1,-0.851851851851852,-0.652173913043478,-0.50402576489533
"Adults","Moral violation","Movie",0,NA,0.92,-0.36,-0.92,-0.36
"Adults","Moral violation","School",0,NA,0.28,-0.923076923076923,-0.739130434782609,-1.38220735785953
"Adults","Moral violation","T-Shirt",5.88235294117647,NA,0.538461538461538,-0.666666666666667,-0.923076923076923,-1.05128205128205
